M,13.0,15.0,18.0,20.0,25.0,30.0,40.0
Mrem,1.6000e+00,1.5000e+00,1.5800e+00,1.5500e+00,1.8040e+00,2.1000e+00,2.2100e+00
H,6.1549e+00,6.7872e+00,7.5261e+00,7.9342e+00,5.3161e+00,8.7500e+00,3.5514e+00
He,4.2980e+00,5.2497e+00,6.1138e+00,6.7632e+00,5.3455e+00,8.3594e+00,4.7062e+00
Li,5.6279e-11,7.0934e-13,2.7990e-13,4.3161e-12,2.5534e-13,4.3324e-13,5.7166e-13
Be,4.6117e-19,1.5459e-18,7.5642e-18,4.7186e-23,3.1044e-19,4.9156e-23,7.0320e-23
B,5.4035e-10,7.3745e-10,7.8290e-10,8.0106e-10,2.1073e-10,8.4642e-10,1.0180e-13
C,1.0828e-01,6.6217e-02,1.3748e-01,2.4639e-01,1.5348e-01,2.5210e-01,5.9619e-01
N,4.8072e-02,6.1549e-02,6.6117e-02,7.2131e-02,5.6168e-02,1.0232e-01,5.8111e-02
O,2.2252e-01,1.6500e-01,7.8292e-01,1.0590e+00,3.0104e+00,3.2241e+00,7.3467e+00
F,1.4193e-05,1.6414e-05,4.4733e-06,6.0478e-05,2.4335e-04,7.8086e-06,5.2596e-06
Ne,3.9468e-02,3.5773e-02,1.5620e-01,4.0447e-01,1.0240e+00,9.5808e-01,2.2240e+00
Na,9.2510e-04,1.0625e-03,2.9313e-03,1.6816e-02,2.9582e-02,3.4686e-02,7.7638e-02
Mg,2.9910e-02,4.1093e-02,1.1562e-01,9.4854e-02,2.5686e-01,2.4724e-01,4.5655e-01
Al,1.4966e-03,2.4420e-03,1.0024e-02,9.9015e-03,3.1969e-02,3.4095e-02,8.2980e-02
Si,7.7884e-02,8.8774e-02,1.1476e-01,6.7725e-02,3.5489e-01,2.5821e-01,2.6108e-01
P,3.7484e-04,7.0613e-04,1.7414e-03,6.5755e-04,1.8212e-03,2.5604e-03,3.5247e-03
S,3.9151e-02,3.6474e-02,3.9476e-02,3.0010e-02,1.8563e-01,1.1258e-01,1.1297e-01
Cl,1.4489e-04,1.6151e-04,2.3154e-04,2.0894e-04,6.6460e-04,4.9570e-04,8.4006e-04
Ar,6.9748e-03,5.5535e-03,6.2603e-03,5.3400e-03,3.0851e-02,1.9698e-02,1.9790e-02
K,5.4999e-05,7.5875e-05,8.4622e-05,8.3039e-05,3.1194e-04,1.4879e-04,1.5946e-04
Ca,4.9770e-03,4.0708e-03,4.6227e-03,3.8177e-03,1.9913e-02,1.5772e-02,1.5670e-02
Sc,7.2922e-07,9.2999e-07,1.2607e-06,1.2999e-06,3.6873e-06,2.5750e-06,6.1470e-06
Ti,9.8744e-05,1.2672e-04,1.5711e-04,1.4206e-04,2.6368e-04,3.0913e-04,3.3433e-04
V,1.1803e-05,9.9814e-06,1.1470e-05,1.3350e-05,1.2046e-05,2.5292e-05,2.2605e-05
Cr,7.3962e-04,1.4076e-03,1.4283e-03,1.2052e-03,3.6753e-03,4.1648e-03,4.1792e-03
Mn,2.8097e-04,3.8003e-04,4.0480e-04,3.5997e-04,3.4727e-04,1.0403e-03,8.2813e-04
Fe,8.7430e-02,8.9701e-02,9.2976e-02,9.3712e-02,8.8953e-02,1.0389e-01,8.9673e-02
Co,1.4089e-04,9.0001e-05,1.8197e-04,2.9226e-04,4.0057e-04,5.3929e-04,6.9448e-04
Ni,4.6992e-03,3.3234e-03,5.4267e-03,5.0506e-03,3.3102e-03,2.5623e-03,5.8691e-03
Cu,2.8527e-05,2.0160e-05,2.6667e-05,1.7157e-04,5.8508e-04,9.8578e-05,1.3345e-03
Zn,1.3204e-04,9.5371e-05,9.3306e-05,2.5708e-04,9.4606e-04,4.9892e-05,3.0603e-03
Ga,3.1556e-06,1.6406e-06,1.9718e-06,1.1802e-05,9.1200e-05,2.4810e-06,3.0695e-04
Ge,8.6012e-06,4.7291e-06,1.0413e-05,4.8158e-05,5.5322e-04,5.6737e-05,2.4098e-03
