M,20.,25.,30.,40.
Mrem,1.9400e+00,2.4900e+00,3.6000e+00,2.9500e+00
H,6.0703e+00,5.8689e+00,7.3355e+00,6.7856e+00
He,5.9335e+00,6.0944e+00,7.6886e+00,9.2256e+00
Li,2.1140e-12,4.2744e-12,1.0644e-07,5.0299e-13
Be,1.0954e-15,1.4177e-15,2.0162e-17,1.0898e-22
B,2.0653e-09,1.4256e-09,2.1477e-09,1.0092e-09
C,2.7296e-01,1.8797e-01,1.5151e-01,3.9559e-01
N,1.2810e-01,1.3694e-01,1.9246e-01,2.9242e-01
O,1.8672e+00,2.8644e+00,4.5047e+00,6.5261e+00
F,3.1940e-05,1.9981e-04,2.5757e-04,4.1634e-05
Ne,5.3159e-01,7.4523e-01,1.7992e-01,1.5945e+00
Na,3.1966e-02,2.9298e-02,5.7108e-03,9.3944e-02
Mg,1.8406e-01,2.8586e-01,2.3130e-01,6.0265e-01
Al,2.4793e-02,3.7194e-02,4.0404e-02,1.1655e-01
Si,1.6068e-01,2.5626e-01,6.6255e-01,4.3855e-01
P,3.3781e-03,4.8681e-03,1.9766e-02,1.2354e-02
S,6.8997e-02,9.5804e-02,2.2925e-01,1.8216e-01
Cl,7.7784e-04,9.4543e-04,2.3645e-03,2.4358e-03
Ar,1.1279e-02,1.5491e-02,3.3626e-02,3.5516e-02
K,2.5284e-04,3.2457e-04,5.8144e-04,7.2438e-04
Ca,5.5180e-03,7.6618e-03,1.6746e-02,1.5342e-02
Sc,6.2180e-06,8.3786e-06,1.0821e-05,1.9338e-05
Ti,2.1635e-04,3.3348e-04,5.5215e-04,1.1081e-03
V,2.4076e-05,3.1396e-05,5.1711e-05,7.2062e-05
Cr,1.2916e-03,1.6519e-03,3.5199e-03,3.9199e-03
Mn,7.5370e-04,7.3290e-04,1.7333e-03,1.3974e-03
Fe,7.8102e-02,1.1939e-01,1.8769e-01,2.7257e-01
Co,7.2679e-04,9.5420e-04,5.7573e-04,1.9521e-03
Ni,8.9640e-03,1.1858e-02,1.9229e-02,3.4234e-02
Cu,7.7545e-04,1.1370e-03,5.2853e-04,2.8680e-03
Zn,1.0426e-03,1.8691e-03,2.9471e-03,6.8996e-03
Ga,9.3135e-05,1.6374e-04,3.1258e-04,6.7562e-04
Ge,6.0387e-04,9.9608e-04,3.3118e-03,6.4525e-03
