M,20.,25.,30.,40.
Mrem,1.7700e+00,1.8400e+00,3.0500e+00,2.6700e+00
H,7.9342e+00,5.3160e+00,8.7500e+00,3.5514e+00
He,6.7627e+00,5.3559e+00,8.3685e+00,4.7802e+00
Li,3.5676e-12,2.4887e-10,1.8007e-14,5.7651e-13
Be,1.2102e-16,1.6428e-19,6.9845e-16,2.4325e-15
B,8.0906e-10,2.1413e-10,8.5060e-10,4.5449e-13
C,2.1019e-01,1.3573e-01,1.8100e-01,4.9005e-01
N,7.2118e-02,5.6288e-02,1.0232e-01,5.8114e-02
O,9.8449e-01,2.9379e+00,2.7465e+00,7.0578e+00
F,6.9155e-05,1.7333e-04,9.3248e-06,9.8417e-06
Ne,3.0263e-01,7.5824e-01,5.5490e-01,1.7510e+00
Na,1.1978e-02,2.0334e-02,1.8114e-02,5.7561e-02
Mg,8.7498e-02,2.5584e-01,2.1376e-01,4.4688e-01
Al,8.5633e-03,2.7845e-02,2.3714e-02,7.2037e-02
Si,1.0054e-01,2.6918e-01,2.9254e-01,3.6479e-01
P,9.7867e-04,2.9190e-03,3.6471e-03,5.4251e-03
S,5.1791e-02,1.0668e-01,1.2314e-01,1.5848e-01
Cl,3.6528e-04,5.9533e-04,8.3726e-04,1.3444e-03
Ar,8.5770e-03,1.6514e-02,1.8620e-02,2.4980e-02
K,1.5125e-04,1.9809e-04,2.8500e-04,3.0318e-04
Ca,5.0803e-03,1.0032e-02,9.5538e-03,1.4752e-02
Sc,1.8258e-06,4.1314e-06,4.4407e-06,6.8072e-06
Ti,1.0563e-04,2.3726e-04,3.0603e-04,7.4094e-04
V,1.0940e-05,1.8237e-05,2.5185e-05,6.6199e-05
Cr,5.5207e-04,1.4737e-03,1.7241e-03,2.7862e-03
Mn,3.1789e-04,4.2703e-04,5.8485e-04,4.9373e-04
Fe,4.1085e-02,1.2297e-01,1.1434e-01,2.9339e-01
Co,2.4286e-04,5.0792e-04,6.5968e-04,1.4235e-03
Ni,3.4953e-03,6.9023e-03,8.5144e-03,2.4078e-02
Cu,1.4040e-04,4.9396e-04,8.1515e-05,1.1549e-03
Zn,1.9150e-04,1.1512e-03,1.7267e-04,3.3708e-03
Ga,1.1769e-05,8.8000e-05,3.5360e-06,2.8969e-04
Ge,4.1988e-05,4.7864e-04,3.8817e-05,2.1225e-03
