M,Z=0.002
C,0.00315000191
N,4.7398e-07
O,0.09640009441
F,1.48e-11
Ne,0.0036923447
Na,1.96e-05
Mg,0.02691796
Al,0.000268
Si,0.29457399999999995
P,0.000105
S,0.11236400164
Cl,3.554e-05
Ar,0.01931900000987
K,2.032e-05
Ca,0.01661388622059285
Sc,7.69e-08
Ti,0.00038741
V,3.99023e-05
Cr,0.0103225
Mn,0.00873
Fe,0.7488772
Co,0.00044
Ni,0.056490236500000006
Cu,3.396e-06
Zn,1.7929418002100002e-05
