M,1.0,1.25,1.5,1.75,1.9,2.1,2.25,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,7.0,9.0,12.0,13.0,15.0,18.0,20.0,25.0,30.0,40.0,100.0
H,0.3031,0.4647,0.6217,0.7953,0.8979,1.025,1.113,1.259,1.534,1.904,2.242,2.484,2.708,3.036,3.093,3.529,4.333,5.454,6.27900000000001,6.970000000000015,7.496000000000007,8.496000000000015,9.387,9.49500000000001,14.04,27.31
He,0.1166349,0.1802129999999999,0.2383937,0.3070269,0.3469256,0.4086124,0.4569906999999999,0.5414685,0.7120453,0.780536,0.8766925,1.087007141,1.3220019870000002,1.478002152,1.587,2.143,2.809,3.685,4.1501807,5.0771821,6.081226600000001,6.9121998,7.922199699999999,8.107195599999999,9.826,27.5
C,0.0004499399999999,0.00061007,0.00097968,0.00385428,0.00610954,0.01124871,0.01585127,0.02249745,0.03965274,0.02841693,0.0220127,0.0072511,0.0047906999999999,0.0065452,0.001377,0.00149,0.04399,0.0839,0.0959962,0.0777756,0.12925,0.1454823,0.143832,0.2094154,0.1764,0.178
N,0.000272524,0.0005157818,0.0007765927,0.00106492,0.001192056,0.001421196,0.001559345,0.001904492,0.002468679,0.003023837,0.0034881805,0.0382107042,0.055451078,0.048001005,0.004543,0.006208,0.00832,0.01117,0.0186147799999999,0.02529994,0.0713729999999999,0.03315828,0.049498,0.040465608,0.03958,0.1218
O,0.001624473,0.002494695,0.003330173,0.004319671,0.0049101349999999,0.0056490019999999,0.006189275,0.00686324,0.00829606,0.0099878,0.01176082,0.0128736426,0.0120166402,0.0132026968,0.007285,0.008277,0.1601,0.7047,0.3041441,0.2282941,0.6448520000000001,1.0206148,2.2694731999999997,4.0377426,2.114,6.971
Ne,0.0002966841,0.000455744,0.000614192,0.000880054,0.001072581,0.001535058,0.002068801,0.002998602,0.0058967729999999,0.003746153,0.00313475,0.0042437889999999,0.0050848757999999,0.004618205,0.0002727,0.0003312,0.01586,0.1217,0.0764203,0.0724732,0.1817941,0.326998,0.8428129999999999,0.94826,0.7443,0.5181
Mg,0.00011178,0.0001718,0.00022908,0.00029456,0.00033358,0.00038783,0.00042976,0.00050783,0.0007525,0.000922,0.0010154,0.0015112,0.0019076,0.0018974999999999,0.0005511,0.0006683,0.006825,0.03942,0.037902,0.059298,0.09611,0.093468,0.25095,0.2307199999999999,0.2235,0.3806
Si,0.000120387,0.00018504,0.000246769,0.00031711,0.00035871,0.00041467,0.00045521,0.00052358,0.00065971,0.00078525,0.00091245,0.00106503,0.00122225,0.00135088,0.0007006,0.0008496,0.03755,0.09238,0.0684468999999999,0.097525,0.106024,0.096244,0.129019,0.3301909999999999,0.00408,0.009425
S,9.92458e-05,0.0001524687,0.000203389,0.000261395,0.000295612,0.000341518,0.000374829,0.000430491,0.000538954,0.000638495,0.000739583,0.000847229,0.0009560629999999,0.001070243,0.000377,0.0004572,0.01902,0.04078,0.031791697,0.035909586,0.041622583,0.0410701969999999,0.042048614,0.15211591,0.002196,0.005072
Ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792e-05,8.237e-05,0.003728,0.006887,0.0043543877,0.0034927877,0.0054470922,0.0051682657,0.0048321974,0.0209397729,0.0003955,0.0009137
Fe,0.0002156444,0.0003313566,0.0004419799999999,0.000567831,0.000642225,0.0007420679999999,0.000814305,0.000935739,0.00117143,0.0013859,0.00160364,0.00182844,0.00205901,0.0023099799999999,0.001242,0.001507,0.08446,0.08454,0.08000822,0.08118933,0.0935038,0.0841187,0.0848514,0.0905729,0.003617,0.008356
