S,3.5415e-10,2.1817e-13,1.7543e-08,5.433e-08,1.1036e-07,1.5322e-07,1.8564e-07,2.6249e-07,3.5089e-07,5.6233e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079473,0.024037,0.032314,0.041042,0.053811,0.1857,0.11591,0.37504,1.266,1.5931
Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6316e-06,5.7876e-05,2.0471e-05,3.5556e-05,0.00010738,0.00011531,3.8335e-05,0.00031211,0.00061033,0.00071984
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014795,0.0032953,0.0053444,0.0058392,0.010055,0.031359,0.019684,0.049843,0.18232,0.23097
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1016e-06,5.3768e-06,8.6696e-06,2.1013e-05,5.3524e-05,8.3773e-05,1.6435e-05,0.00014566,0.00026496,0.00030878
Ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013944,0.0029359,0.0044322,0.0044141,0.0062447,0.024815,0.017362,0.037337,0.14885,0.1898
Sc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8361e-08,2.1194e-08,4.0312e-08,5.5388e-08,2.5532e-07,6.1634e-07,1.5101e-07,5.8135e-07,1.4197e-06,1.7276e-06
Ti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153e-05,8.0694e-05,9.3763e-05,8.8889e-05,0.00010273,0.00016565,0.00018991,0.00026786,0.00041051,0.00046289
V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141e-06,1.6543e-05,1.0812e-05,1.2356e-05,1.1027e-05,9.0135e-06,1.0586e-05,1.7579e-05,3.115e-05,3.6134e-05
Cr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034524,0.00093969,0.0011682,0.0012189,0.0014678,0.002967,0.0033411,0.0043871,0.0054077,0.0057825
Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4642e-05,0.00013285,0.00018547,0.00017391,0.00022569,0.00043031,0.00051575,0.00071501,0.0014078,0.0016622
Fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010464,0.071727,0.072373,0.072287,0.072292,0.073798,0.074577,0.080001,0.10381,0.11255
Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1381e-06,0.00017563,0.00013195,0.00016102,0.00014955,1.5658e-05,2.473e-06,1.8748e-06,3.0512e-06,3.4832e-06
Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020978,0.0025654,0.0020759,0.0019883,0.0017434,0.00044209,0.00038602,0.00057815,0.0025023,0.0032089
Cu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8557e-08,5.1024e-06,3.7844e-06,4.0785e-06,3.5797e-06,1.3101e-07,2.3815e-10,2.0771e-11,1.1855e-11,8.5809e-12
Zn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2375e-07,0.00012573,0.00012273,9.5585e-05,8.3398e-05,2.5601e-06,3.0776e-10,4.4415e-11,1.8525e-11,9.0184e-12
Ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9948e-11,7.8127e-09,5.6188e-09,6.1007e-09,4.927e-09,8.7665e-11,5.298e-13,5.6191e-15,8.1924e-13,1.118e-12
Ge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2952e-10,8.9918e-09,6.5704e-09,4.8028e-09,3.932e-09,7.3674e-12,3.1448e-12,1.9367e-12,1.0225e-11,1.3269e-11
