M,Z=0.002
C,1.5e-07
Na,4.6e-09
Al,2.7e-07
Si,1.53e-11
P,3.76e-08
S,3.58e-09
Cl,3.59e-08
Ar,9.110119e-06
K,1.3e-09
Ca,1.42e-06
Ti,1.18e-05
V,1.377e-07
Cr,0.00038913
Mn,0.00021986
Fe,0.011141002998
Co,0.0079714396
Ni,0.6626630169
Zn,7.890099499999999e-05
