M,0.9,1.0,1.2,1.5,1.8,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,8.0
Mrem,7.9800e-01,8.4300e-01,9.0200e-01,9.6200e-01,1.0210e+00,1.0560e+00,1.0800e+00,1.0850e+00,1.0900e+00,1.1010e+00,1.1030e+00,1.1050e+00,1.1070e+00,1.1090e+00,1.1100e+00,1.1120e+00,1.1140e+00,1.1160e+00,1.1200e+00
H,6.9910e-02,1.0358e-01,2.2941e-01,3.5523e-01,4.8106e-01,5.5654e-01,6.0685e-01,7.4530e-01,8.7408e-01,1.1027e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
He,3.1345e-02,5.1758e-02,1.1525e-01,1.7941e-01,2.4425e-01,2.8346e-01,3.0975e-01,4.1251e-01,5.2382e-01,7.7212e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Li,7.4702e-11,1.9836e-10,3.6856e-10,4.6110e-10,4.7597e-10,4.4761e-10,4.1317e-10,4.0654e-10,3.5094e-10,9.2799e-11,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Be,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
B,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
C,7.7032e-05,3.4628e-04,5.8925e-04,6.3725e-04,4.9027e-04,3.0849e-04,1.4831e-04,3.1653e-04,5.3886e-04,1.1459e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
N,1.4935e-04,6.1540e-04,1.3207e-03,1.9795e-03,2.5919e-03,2.9369e-03,3.1576e-03,6.3943e-03,1.0639e-02,2.2147e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
O,1.8351e-04,6.8977e-04,1.1502e-03,1.1961e-03,8.2777e-04,4.0787e-04,4.5067e-05,8.7104e-05,1.4177e-04,2.8897e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
F,2.1107e-07,9.7728e-07,1.6235e-06,1.6761e-06,1.1350e-06,5.2540e-07,2.6484e-10,5.9741e-10,1.0401e-09,2.2560e-09,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ne,1.5136e-06,6.9342e-06,1.3940e-05,1.9389e-05,2.3281e-05,2.4869e-05,2.5617e-05,6.6217e-05,1.2101e-04,2.7321e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Na,3.8327e-08,1.7752e-07,4.0737e-07,6.5277e-07,9.1372e-07,1.0777e-06,1.1902e-06,3.9077e-06,7.6341e-06,1.8114e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Mg,6.0940e-08,2.6995e-07,1.3534e-06,3.2658e-06,6.0069e-06,8.0494e-06,9.5768e-06,3.4211e-05,6.8128e-05,1.6380e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Al,2.9791e-09,2.5667e-11,1.1623e-07,3.5990e-07,7.3101e-07,1.0149e-06,1.2296e-06,3.3101e-06,6.1276e-06,1.3973e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Si,7.7642e-09,2.7473e-12,6.7581e-08,2.0929e-07,4.2513e-07,5.9023e-07,7.1512e-07,1.1729e-06,1.7431e-06,3.2208e-06,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
P,1.4912e-09,3.2518e-13,4.5373e-08,1.4052e-07,2.8545e-07,3.9630e-07,4.8015e-07,7.8123e-07,1.1552e-06,2.1216e-06,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
S,3.5415e-10,2.1817e-13,1.7543e-08,5.4330e-08,1.1036e-07,1.5322e-07,1.8564e-07,2.6249e-07,3.5089e-07,5.6233e-07,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Cl,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
Ar,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
K,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
