M,Z=0.0002
C,6.57e-10
Na,7.84e-09
Al,9.3e-08
Si,4.58e-15
P,2.764e-10
S,2.53e-11
Cl,8.47e-10
Ar,3.51000147e-06
K,5.8e-11
Ca,4.92e-07
Ti,1.27e-05
V,9.33e-08
Cr,0.00039712
Mn,0.00020121
Fe,0.011211002986
Co,0.0070958296
Ni,0.6673140168
Zn,5.010111e-05
