M,Z=0.01
C,1.2e-06
Na,4.43e-09
Al,3.73e-07
Si,1.58e-09
P,3.2799999999999997e-07
S,8.66e-08
Cl,2.81e-07
Ar,2.250246e-05
K,1.48e-08
Ca,3.85e-06
Ti,1.08e-05
V,2.522e-07
Cr,0.00036876
Mn,0.00027404999999999997
Fe,0.010947003057
Co,0.0102842899
Ni,0.6450800172000001
Zn,0.000224000846
