M,1.00,1.25,1.50,1.75,1.90,2.00,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,13.0,15.0,18.0,20.0,25.0,30.0,40.0
Mrem,0.564,0.574,0.6,0.615,0.63,0.64,0.66,0.663,0.682,0.718,0.792,0.852,0.879,0.9,0.929,0.963,1.6,1.5,1.58,1.55,1.804,2.1,2.21
H,0.29179156,0.45269319,0.60623962,0.76891685,0.86273539,0.92530721,1.0786533,1.2335814,1.5249571,1.8198951,2.1436353,2.4007888,2.6526232,2.8888535,3.1366744,3.3890154,6.1549,6.7872,7.5261,7.9342,5.3161,8.75,3.5514
He,0.1358522754499999,0.21033955331,0.27647713535,0.34427254586,0.3828618152199999,0.40856005126,0.47978701589,0.56212830625,0.73118864706,0.88516629852,0.98922591575,1.1636854734300002,1.375408713085,1.5996722914613,1.8175783861561,2.0252701275466,4.298,5.2497,6.1138,6.7632,5.3455,8.3594,4.7062
Li,2.4030611e-09,7.5090062e-10,3.0515988e-09,3.3487577e-09,5.3986327e-10,7.1649875e-10,4.372442e-09,4.9689928e-09,5.3366227e-09,1.6001639e-10,1.5108609e-10,6.2222858e-09,2.4072216e-08,1.2253049e-08,8.9372181e-09,1.2458946e-08,5.6279e-11,7.0934e-13,2.799e-13,4.3161e-12,2.5534e-13,4.3324e-13,5.7166e-13
Be,4.0740918e-12,5.8754618e-13,4.3489181e-13,3.1671383e-13,3.3869305e-13,2.8694535e-13,2.5217765e-13,6.9864023e-14,2.7952978e-14,2.7642151e-14,3.4087457e-12,1.8476388e-09,3.4971883e-08,1.7811663e-08,1.3017448e-08,1.6748201e-08,4.6117e-19,1.5459e-18,7.5642e-18,4.7186e-23,3.1044e-19,4.9155999999999997e-23,7.032e-23
B,2.6669912000000003e-27,9.4740908e-27,2.0495579e-25,4.1181086e-25,2.5497624e-25,2.9018961e-25,3.6989863e-25,6.260642999999999e-26,3.9614005e-28,2.0181877e-29,4.0950817000000005e-27,9.1175547e-25,1.1355082e-23,4.9180732e-24,4.0454085e-24,1.0242085e-23,5.4035e-10,7.3745e-10,7.829e-10,8.0106e-10,2.1073e-10,8.4642e-10,1.018e-13
C,0.001188860411,0.001652404484,0.0020183286,0.00242487783,0.00270604454,0.0028911366799999,0.0043157739041069,0.009550566089219,0.0209339155620479,0.027378547336663,0.019212613667332,0.019965134131185,0.017862691047257,0.008263151672032,0.006271126340795,0.006291284029933,0.10828,0.066217,0.13748,0.24639,0.15348,0.2521,0.59619
N,0.0006631504825,0.0012529531939999,0.0018804916544,0.0025077704436,0.0028150890056,0.0030243468028,0.0036942010566,0.0043098330774999,0.0056616511234999,0.0071180269791999,0.0086318952642,0.0104612474588899,0.01642645056333,0.03906971159912,0.04182413311172,0.0427109756559999,0.048072,0.061549,0.066117,0.072131,0.056168,0.10232,0.058111
O,0.0041965701183,0.0065053791553,0.0086595609975,0.010925002933,0.0122242305409999,0.013088346657,0.015145123226,0.017311603461,0.021236376133,0.025128050032,0.029243450164,0.032809895771,0.0359942178933,0.03827718690498,0.04077411493557,0.04364788695067,0.22252,0.165,0.78292,1.059,3.0104,3.2241,7.3467
F,1.7698856e-07,2.7540676e-07,3.6713874e-07,4.6285214e-07,5.1665171e-07,5.5231231e-07,7.3585437e-07,1.5047432e-06,4.348728e-06,6.8486506e-06,3.554861e-06,3.4222649e-06,3.6023453e-06,2.1893786e-06,1.2431848e-06,1.0530908e-06,1.4193e-05,1.6414e-05,4.4733e-06,6.0478e-05,0.00024335,7.8086e-06,5.2596e-06
Ne,0.0007653310739,0.0011865907111,0.0015786064398999,0.0019886607102,0.0022234324184,0.0023800303386,0.0028507455441,0.0036962133561,0.005878638388,0.007487394353,0.006760195577,0.007393901958,0.008110789639,0.0093534492276,0.0097674071555,0.0103252195308,0.039468,0.035773,0.1562,0.40447,1.024,0.95808,2.224
Na,1.4716185e-05,2.2975932e-05,3.1667161e-05,4.218271e-05,4.9051745e-05,5.3539075e-05,6.7620305e-05,8.4794869e-05,0.00012845088,0.00015821191,0.0001623395900001,0.0001889169900251,0.0002275127857602,0.0002656847423047,0.0003008740393239,0.0003337776396148,0.0009251,0.0010625,0.0029313,0.016816,0.029582,0.034686,0.077638
Mg,0.000288228061,0.000446939013,0.000594983682,0.000750347683,0.000839595442,0.000899089889,0.00105128923,0.00121699003,0.0015565752,0.0019202626399999,0.00219847203,0.0025454084,0.00287201416,0.00341654606,0.00367514851,0.00398439807,0.02991,0.041093,0.11562,0.094854,0.25686,0.24724,0.45655
Al,2.5351187596726895e-05,3.9310278287573034e-05,5.23315368227416e-05,6.599651078814e-05,7.38476061884e-05,7.90850406188e-05,9.283338715e-05,0.00010829052135,0.0001388923056,0.00016826442547,0.00019334983299,0.00022398873888,0.00025386098022,0.0002945508969,0.0003197922367,0.0003436754728,0.0014966,0.002442,0.010024,0.0099015,0.031969,0.034095,0.08298
Si,0.000310445575,0.0004813927639999,0.000640851143,0.000808189389,0.000904319317,0.000968405427,0.001132337316,0.0013083355890001,0.0016517209330036,0.0019837552010458,0.0022875966382329,0.0026045816391223,0.0029432199131991,0.0032993261234055,0.0036349832105231,0.0039683673867253,0.077884,0.088774,0.11476,0.067725,0.35489,0.25821,0.26108
P,3.5619346e-06,5.5232831e-06,7.3528181e-06,9.2728133e-06,1.0375737e-05,1.1111028e-05,1.2993848000000002e-05,1.502552400000004e-05,1.901796500000094e-05,2.2934819000011704e-05,2.642444300005948e-05,3.0236573000541804e-05,3.4187142000816694e-05,3.8998638003422176e-05,4.276198901034479e-05,4.6643057004269666e-05,0.00037484,0.00070613,0.0017414,0.00065755,0.0018212,0.0025604,0.0035247
