M,Z=0.01
C,0.00310000847
N,1.8020699999999999e-06
O,0.09870028623
F,2.2e-11
Ne,0.003616697
Na,2.63e-05
Mg,0.0202753
Al,0.000588
Si,0.291918
P,0.000358
S,0.11409903860000001
Cl,0.00012179999999999999
Ar,0.019331000465999996
K,6.635e-05
Ca,0.01572752350224504
Sc,1.43e-07
Ti,0.000373529
V,7.650301e-05
Cr,0.010253700000000001
Mn,0.0111
Fe,0.7445784999999999
Co,0.000509
Ni,0.0642214372
Cu,4.1679999999999997e-07
Zn,3.65107800216e-06
